10,sg00 trig 1s,sg00 trig,"[""Q14h22h23h24""]",,2012-07-25 11:29:24.656412,2012-07-25 11:33:08.923021,1
8,sg00 trig1b,sg00 Physics,"[""14"", ""18h21"",""11"", ""Q12"", ""Q13h20""]",,2012-07-25 10:41:07.016106,2012-07-25 17:33:36.972418,1
12,sg00 trig 2b,sg00 trig,"[""11"", ""26h29"", ""Q17""]",,2012-07-25 20:25:35.726945,2012-07-25 20:29:52.10338,1
14,sg00 trig 2g,sg00 trig,"[""Q28h27h30""]",,2012-07-25 20:37:25.97995,2012-07-25 20:38:38.116583,1
11,sg00 trig 1g,sg00 trig,"[""Q15h25h28""]",,2012-07-25 11:48:46.288517,2012-07-25 22:03:45.999061,1
13,sg00 trig 2s,sg00 trig,"[""Q21h31""]",,2012-07-25 20:31:26.981671,2012-07-26 07:50:45.205897,1
6,trial item,test,"[""Q7h1"", ""Q4"", ""5"", ""1"", ""6"", ""6"", ""6"", ""7""]",,2012-07-17 21:56:22.983298,2012-07-23 01:18:02.590355,1
5,extra item,test,"[""Q5"", ""3h10""]",,2012-07-17 21:01:08.182931,2012-07-23 01:27:28.727735,1
3,sg01 Q3,Physics sg01,"[""Q7h1h2h4h7""]",,2012-07-10 13:29:25.655149,2012-07-23 11:08:09.860123,1
31,sg01 2b,sg01,"[""Q84h79"", ""Q82h80"", ""Q85h85"", ""Q7h81""]",,2012-08-31 06:03:19.738269,2012-09-02 22:06:20.487255,1
1,Test item,test,"[""1"", ""3"",  ""Q2""]",,2012-07-08 20:38:39.955102,2012-07-18 09:44:41.386402,1
4,sg01 Q4,Physics sg01,"[""Q9""]",,2012-07-10 13:55:20.750071,2012-07-20 01:06:13.757331,1
51,sg04 Density 2,sg04,"[""Q134""]",,2012-09-26 16:09:05.536167,2012-09-26 16:09:27.70069,1
25,sg00 standard form 3,sg00 standard,"[""57h86"", ""Q56"", ""Q59"", ""Q57"", ""Q60""]",,2012-08-26 13:20:08.285501,2012-09-03 16:35:34.524513,1
26,sg00 subsolve 1,sg00 subsolve,"[""58"", ""59"", ""64"", ""60"", ""Q61h65"", ""Q62"", ""61"", ""Q64h67"", ""Q71""]",,2012-08-27 17:09:02.071723,2012-08-28 17:54:18.724609,1
27,sg00 subsolve 2,sg00 subsolve,"[""60"",""Q63h66"", ""61"", ""Q65h68"", ""Q68"" ]",,2012-08-28 17:56:13.903015,2012-08-28 17:59:37.0555,1
32,sg01 1g,sg01,"[""Q88h74"", ""Q90"", ""Q91h75h76"", ""Q92h77"", ""Q93h88""]",,2012-09-02 11:43:14.285316,2012-09-05 06:07:05.447507,1
23,sg00 standard form 1,sg00 standard,"[""45"", ""46"", ""51h48h49"", ""47h50"", ""Q40"", ""Q41"", ""Q38h87"", ""Q39""]",,2012-08-26 09:45:20.571637,2012-09-05 06:08:12.447826,1
52,Density 3,sg04,"[""Q136""]",,2012-09-26 16:11:28.067255,2012-09-26 16:11:35.873521,1
28,sg00 subsolve3,sg00 subsolve,"[""62"", ""Q73h69"", ""63"", ""Q75h70"", ""Q76h71""]",,2012-08-28 18:14:47.292307,2012-08-28 18:50:03.545351,1
41,sg03 1b,sg03,"[""110h116"", ""Q101"", ""Q103"", ""Q102""]",,2012-09-18 12:28:52.986769,2012-09-28 05:27:26.869521,1
42,sg03 1s,sg03,"[""110h117"", ""Q105h118"", ""Q107""]",,2012-09-18 13:37:34.527096,2012-09-28 05:27:59.006375,1
17,Intro 1s,intro,"[""Q33h40""]",,2012-08-22 13:01:21.463148,2012-08-22 14:34:10.470601,1
18,Intro 1g,intro,"[""Q34h41""]",,2012-08-22 13:49:20.44597,2012-08-22 14:35:20.415154,1
67,Couple,sg06,"[""142"", ""Q166"",""143"", ""Q167""]",,2012-11-25 17:49:04.243331,2012-11-25 18:09:08.223641,1
24,sg00 standard form 2,sg00 standard,"[""52h55h53"", ""54h56"", ""Q52"", ""Q55"", ""Q54"", ""Q53""]",,2012-08-26 12:34:01.677671,2012-08-26 13:19:26.7221,1
20,Intro 2b,intro,"[""Q35h42""]",,2012-08-22 14:50:18.662249,2012-08-22 14:52:15.793506,1
58,Vector triangles  (bronze),sg05,"[""126"", ""Q144h127"", ""129"", ""128"", ""Q146"", ""Q147"", ""Q148"", ""130"", ""Q150"", ""132"", ""133h131"", ""Q155""]",,2012-10-19 13:18:18.398677,2012-10-19 13:19:11.406659,1
22,Intro 2g,intro,"[""Q37h44""]",,2012-08-22 16:34:58.195908,2012-08-22 17:28:49.68616,1
43,sg03 2b,sg03,"[""Q109h120""]",,2012-09-18 14:09:06.56314,2012-10-02 07:22:55.574495,1
16,Intro 1b,intro,"[""32h39h33"", ""Q32"", ""Q29""]",,2012-08-21 11:14:41.242256,2012-08-22 17:29:53.003119,1
45,sg03 2s,sg03,"[""Q110h121""]",,2012-09-18 16:32:31.006745,2012-10-02 07:23:18.495821,1
21,Intro 2s,intro,"[""Q36h43""]",,2012-08-22 16:33:43.235332,2012-08-22 21:34:32.278106,1
2,sg01 Q1,Physics sg01,"[""Q3h10"", ""Q5h10"", ""Q4h10"", ""Q6h10""]",,2012-07-10 13:00:40.907534,2012-08-23 15:42:28.987439,1
46,sg03 1g,sg03,"[""110h119"", ""Q104"", ""Q108""]",,2012-09-18 16:37:59.917882,2012-10-02 07:24:46.824569,1
39,sg02 2s,sg02,"[""98"", ""Q99""]",,2012-09-11 05:34:21.27675,2012-09-11 05:34:32.950108,1
44,sg03 2g,sg03,"[""112"", ""111"", ""Q111h122""]",,2012-09-18 16:21:53.404951,2012-10-02 07:25:29.230512,1
35,sg02 1b,sg02,"[""89"", ""92"", ""93"", ""94"", ""Q94h90h100h101"", ""95"", ""Q95h102""]",,2012-09-09 08:45:08.118113,2012-09-12 21:44:09.699606,1
36,sg02 2b,sg02,"[""96"", ""Q96h103h104""]",,2012-09-09 11:32:14.088042,2012-09-12 21:45:34.245827,1
47,sg01retest1,sg01,"[""Q113"", ""Q114"", ""Q115"", ""Q118"", ""Q119"", ""Q120"", ""Q121"", ""Q122"", ""Q123"", ""Q124""]",,2012-09-21 15:14:50.211777,2012-09-21 15:17:49.029337,1
30,sg01 1s,sg01,"[""Q77h82""]",,2012-08-31 06:01:06.285841,2012-09-02 18:13:02.871103,1
38,sg02 1g,sg02,"[""Q97h105h106""]",,2012-09-10 18:26:00.240966,2012-09-12 22:20:55.981759,1
40,sg02 2g,sg02,"[""99"", ""Q100h107h108""]",,2012-09-11 08:50:46.696825,2012-09-12 22:26:00.843599,1
33,sg01 2s,sg01,"[""73"", ""Q86h83""]",,2012-09-02 18:14:03.25697,2012-09-02 18:29:14.285373,1
37,sg02 1s,sg02,"[""97h109"", ""Q98""]",,2012-09-10 18:20:07.440316,2012-09-16 13:14:54.691056,1
34,sg01 2g,sg01,"[""Q87h84""]",,2012-09-02 18:36:00.090267,2012-09-02 18:37:14.432331,1
29,sg01 1b,sg01,"[""Q3h78"", ""Q4"", ""Q5"", ""Q6"", ""72"", ""Q78"", ""Q79"", ""Q80"", ""Q81""]",,2012-08-30 08:35:50.081277,2012-09-02 21:56:15.385165,1
48,sg01retest2,sg01,"[""Q125""]",,2012-09-21 15:23:33.469491,2012-09-21 15:23:41.145242,1
49,sg01retest3,sg01,"[""Q126""]",,2012-09-21 15:24:59.153204,2012-09-21 15:25:07.553958,1
61,Resolving (bronze),sg05,"[""135"", ""Q157"", ""137"", ""Q159"", ""136"", ""Q158""]",,2012-10-21 17:37:06.508218,2012-10-22 08:58:23.176121,1
69,Beam,sg06,"[""144"", ""Q168""]",,2012-11-26 04:44:59.956119,2012-11-26 04:45:28.831061,1
65,Projectiles (gold),sg05,"[""141"", ""Q165""]",,2012-10-23 16:19:44.704571,2012-10-23 19:42:27.098685,1
50,sg04 Density 1,sg04,"[""113"", ""Q127"", ""Q128"", ""Q129"", ""114"", ""Q131"", ""Q132""]",,2012-09-26 16:00:03.37966,2012-09-26 16:01:16.512929,1
62,Resolving (silver),sg05,"[""134"", ""Q160""]",,2012-10-22 10:21:05.000704,2012-10-22 10:24:09.782753,1
66,Projectiles (silver),sg05,"[""140"", ""Q164""]",,2012-10-23 19:42:49.246003,2012-10-23 19:42:58.328115,1
54,F=ma 1,sg04,"[""115"", ""Q138"",""115"",  ""Q139"", ""Q140"", ""124"", ""Q142""]",,2012-10-07 12:04:42.253334,2012-10-07 12:08:21.303577,1
55,F=ma 2,sg04,"[""123"", ""Q141""]",,2012-10-07 12:08:56.379324,2012-10-07 12:09:17.570248,1
64,Projectiles (bronze),sg05,"[""138"", ""139"", ""Q162"", ""Q163""]",,2012-10-22 14:59:17.525331,2012-10-23 19:43:20.779942,1
56,Skydiver,sg04,"[""Q143"", ""125""]",,2012-10-07 13:03:25.891705,2012-10-07 13:03:39.249972,1
63,Resolving (gold),sg05,"[""134"", ""Q161""]",,2012-10-22 10:29:51.505416,2012-10-22 10:30:17.002067,1
