9,sg01 starlight,A (31..69),[\(a=\) ]A*0.09467[\(b=\)]19h0,2012-07-10 13:52:12.749704,2012-07-20 21:47:26.157681,It takes light \(`A*100`\) years to travel to us from a distant star. Light travels at \(3.0×10^8 \mathrm{ms}^{−1}\). Calculate the distance to this star in metres. State the values of \(a\) and \(b\) in \(a \times 10^b\mathrm{m}\),2s,"","",1
2,Quadratic equation,"A (2,1,3) B (-1..6)",[]-A[]-B,2012-07-08 20:35:17.545486,2012-07-24 20:54:56.16394,Solve the equation \(x^2+`A+B`x+`A*B`=0\),h0,"",Solve the equation \(x^2+`A+B`x+`A*B`=0\),1
7,sg01 Road asphalting,A (31..49) B (15..25) C (45..62),[Volume = `\(\mathrm{m}^3\)]A*B*C/100,2012-07-10 13:23:28.708262,2012-07-24 21:02:03.370261,Calculate the volume of asphalt needed to resurface a \(`A/10` \mathrm{km}\) length of road to an average depth of \(`B/10` \mathrm{cm}\) if the width of the road is \(`C/10` \mathrm{m}\). Give your answer in \(\mathrm{m^3}\) ,s2,sg01,Calculate the volume of asphalt needed to resurface a \(`A/10` \mathrm{km}\) length of road to an average depth of \(`B/10` \mathrm{cm}\) if the width of the road is \(`C/10` \mathrm{m}\). Give your answer in \(\mathrm{m^3}\) ,1
15,sg00 trig 1g,A (8..28) B (11..82) C (8..28) D (11..82),[distance east = `km](A/10)*sin(B*pi/180)+(C/10)*sin(D*pi/180)[distance north = `km](A/10)*cos(B*pi/180)+(C/10)*cos(D*pi/180),2012-07-25 11:46:38.661231,2012-07-25 11:46:38.665739,"A hiker on a flat, featureless plain walks \(`A/10`\mathrm{km}\) on a bearing of \(0`B`°\) and then \(`C/10`\mathrm{km}\) on a bearing of \(0`D`°\). Find how far north and how far east of his starting position he ends up.",s2,sg00 trig,"A hiker on a flat, featureless plain walks \(`A/10`\mathrm{km}\) on a bearing of \(0`B`°\) and then \(`C/10`\mathrm{km}\) on a bearing of \(0`D`°\). Find how far north and how far east of his starting position he ends up.",1
17,sg00 trig Q2b,A (11..99) B (11..99),[\(d=\)`\(\mathrm{cm}\)]((A^2+B^2)^(0.5))/10[\(y=\)`\( °\)]atan(A/B)*180/pi,2012-07-25 14:14:28.530358,2012-07-25 17:34:23.273366,"Given that \(a= `A/10`\mathrm{cm}\) and \(b= `B/10`\mathrm{cm}\), calculate the distance \(d\mathrm{cm}\) and the angle \(y°\)",s2,sg00 trig,"Given that \(a= `A/10`\mathrm{cm}\) and \(b= `B/10`\mathrm{cm}\), calculate the distance \(d\mathrm{cm}\) and the angle \(y°\)",1
28,sg00 trig Q2g,A (11..31) B (11..79) C (11..29) D (11..79),[distance = `km]((A*sin(B*pi/180)+C*sin((100+D)*pi/180))^2+(A*cos(B*pi/180)+C*cos((100+D)*pi/180))^2)^0.5s4[bearing = `°]270-atan((A*cos(B*pi/180)+C*cos((100+D)*pi/180))/(A*sin(B*pi/180)+C*sin((100+D)*pi/180)))*57.3s4,2012-07-25 19:46:53.186247,2012-07-25 20:00:32.516977,A ship sails for \(`A`\mathrm{km}\) in a straight line on a bearing of \(0`B`°\) and then for  \(`C`\mathrm{km}\) on a bearing of \(1`D`°\). The captain then decides to return directly to the ship's starting point. Calculate the distance and bearing of this return journey.,s3,sg00 trig,A ship sails for \(`A`\mathrm{km}\) in a straight line on a bearing of \(0`B`°\) and then for  \(`C`\mathrm{km}\) on a bearing of \(1`D`°\). The captain then decides to return directly to the ship's starting point. Calculate the distance and bearing of this return journey.,1
30,standard form conversion 1,A (11..99),[\(a = \)]A/10[\(b = \)]7h0,2012-08-15 06:02:03.445872,2012-08-15 06:02:03.596898,"Express \(`A`000000\) in the form
\(a \times 10^b\) ",h2,sg00,"Express \(`A`000000\) in the form
\(a \times 10^b\) ",1
13,trig 2,A (25..79) B (48..72),G[\(a=\)`cm](A/10)*sin(B*pi/180)[\(b=\)`cm](A/10)*cos(B*pi/180),2012-07-25 10:30:38.515919,2012-08-18 16:13:17.949977,Find the distances \(a\) and \(b\) when \(d=`A/10` \mathrm{cm}\) and angle \(y=`B` °\),s2,sg00 trig,Find the distances \(a\) and \(b\) when \(d=`A/10` \mathrm{cm}\) and angle \(y=`B` °\),1
12,trig 1,A (21..59) B (15..55),[\(a=\)`cm](A/10)*cos(B*pi/180)[\(b=\)`cm](A/10)*sin(B*pi/180),2012-07-25 09:49:04.664953,2012-08-18 16:12:51.876105,Find the distances \(a\) and \(b\) when \(d=`A/10` \mathrm{cm}\) and angle \(x=`B` °\),s2,sg00 trig,Find the distances \(a\) and \(b\) when \(d=`A/10` \mathrm{cm}\) and angle \(x=`B` °\),1
4,\(\mathrm{\mu m}\) conversion,A (1..9),G[\(a = \)]A[\(b = \)]-6h0,2012-07-10 12:40:09.36557,2012-08-18 16:17:22.852255,Convert \(`A` \mathrm{\mu m}\) to \( \mathrm{m}\). State the values of \(a\) and \(b\) in \(a \times 10^b\mathrm{m}\),h2,"",Convert \(`A` \mathrm{\mu m}\) to \( \mathrm{m}\). State the values of \(a\) and \(b\) in \(a \times 10^b\mathrm{m}\),1
5,\(\mathrm{Mm}\) conversion,A (21..49),G[\(a = \)]A/10[\(b = \)]5h0,2012-07-10 12:51:23.100785,2012-08-18 16:17:44.133364,Convert \(`A/100`\mathrm{Mm}\) to \( \mathrm{m}\). State the values of \(a\) and \(b\) in \(a \times 10^b\mathrm{m}\),h2,sg01,Convert \(`A/100`\mathrm{Mm}\) to \( \mathrm{m}\). State the values of \(a\) and \(b\) in \(a \times 10^b\mathrm{m}\),1
6,\(\mathrm{Tm}\) conversion ,A (101..699),G[\(a = \)]A/100[\(b = \)]13h0,2012-07-10 12:56:47.327008,2012-08-18 16:18:02.766013,Convert  \(`A/10`\mathrm{Tm}\)  to \( \mathrm{m}\). State the values of  \(a\)  and  \(b\)  in  \(a \times 10^b\mathrm{m}\),h3,sg01,Convert  \(`A/10`\mathrm{Tm}\)  to \( \mathrm{m}\). State the values of  \(a\)  and  \(b\)  in  \(a \times 10^b\mathrm{m}\),1
31,Standard form conversion 2,A (101..999),G[\(a = \)]A/100[\(b = \)]-10h0,2012-08-15 12:18:09.213803,2012-08-18 16:18:28.495075,"Express \(0.000000000`A`\) in the form
\(a \times 10^b\) ",h3,sg00,"Express \(0.000000000`A`\) in the form
\(a \times 10^b\) ",1
162,Horizontal projectile 1,A (31..88) B (11..21),[Time = `\(\mathrm{s}\)](B/49.05)^0.5[Distance = `\(\mathrm{m}\)]0.1*A*(B/49.05)^0.5,2012-10-22 11:17:13.771252,2012-10-22 15:01:54.801446,"If \(u = `A/10`\mathrm{ms^{-1}}\) and \(h = `B/10`\mathrm{m}\), find the time of flight and the horizontal distance \(d\)",s3,sg05,"If \(u = `A/10`\mathrm{ms^{-1}}\) and \(h = `B/10`\mathrm{m}\), find the time of flight and the horizontal distance \(d\)",1
29,What number am I thinking of?,"",[Four digit number: ]1834,2012-08-01 19:50:22.474302,2012-08-21 11:18:00.953145,Put those two pairs of numbers together to get a 4 digit number.,h0,start,Put those two pairs of numbers together to get a 4 digit number.,1
21,sg00 trig Q2s,A (611..799) B (261..325),G[distance = `km]((A/1000)^2+(B/100)^2)^(0.5)[angle = `°]atan(A/(B*10))*180/pi,2012-07-25 17:43:17.92393,2012-08-22 18:31:03.591168,"A steep straight slope climbs \(`A`\mathrm{m}\) over a horizontal distance of \(`B/100`\mathrm{km}\). Find the distance as measured up the slope, and the angle the slope makes with the horizontal",s3,sg00 trig ,"A steep straight slope climbs \(`A`\mathrm{m}\) over a horizontal distance of \(`B/100`\mathrm{km}\). Find the distance as measured up the slope, and the angle the slope makes with the horizontal",1
32,getting started ,"",G[From video:]18[From text hint:]34,2012-08-21 11:12:55.113551,2012-08-23 19:24:22.849443,What pairs of digits are indicated by the video and text hints?,h0,intro,What pairs of digits are indicated by the video and text hints?,1
3,\(\mathrm{pm}\) conversion,A (1..9),[\(a = \)]A[\(b = \)]-13h0,2012-07-10 12:26:06.19951,2012-09-02 17:22:04.771952,Convert \(`A/10`\mathrm{pm}\) to \( \mathrm{m}\). The answer is to be expressed in standard form as \(a \times 10^b\mathrm{m}\). Enter the values of \(a\) and \(b\) in the boxes.  Remember that  \(a\) must be at least 1 and less than 10.,h1,"",Convert \(`A/10`\mathrm{pm}\) to \( \mathrm{m}\). The answer is to be expressed in standard form as \(a \times 10^b\mathrm{m}\). Enter the values of \(a\) and \(b\) in the boxes.  Remember that  \(a\) must be at least 1 and less than 10.,1
33,Intro 1s,A (3..10) B (3..10),[Answer =]2*A+3*B,2012-08-22 13:00:33.000667,2012-08-22 13:00:33.039427,Your numbers are \(`A`\) and \(`B`\). View the video for instructions about how to combine them to get the required answer,h0,intro,Your numbers are \(`A`\) and \(`B`\). View the video for instructions about how to combine them to get the required answer,1
34,Intro 1g,A (115..169) B (28..39),[Answer =]B,2012-08-22 13:48:04.170331,2012-08-22 13:48:04.175321,"You may be able to do this one without the video, but please watch it anyway to check you have got the point. Calculate \(`A/10`+`B-A/10`\).",h3,intro,"You may be able to do this one without the video, but please watch it anyway to check you have got the point. Calculate \(`A/10`+`B-A/10`\).",1
39,standard form calculation 2,A (41..99) C (13..39),[]A/(C*10000000),2012-08-23 16:00:28.19776,2012-08-26 09:52:27.793339,"Using your calculator if necessary, find \((`A/10`\times 10^{-16})\div (`C/10`\times 10^{-9})\), giving your answer as an ordinary number.",s2,sg00,"Using your calculator if necessary, find \((`A/10`\times 10^{-16})\div (`C/10`\times 10^{-9})\), giving your answer as an ordinary number.",1
36,Intro 2s,"",[]934,2012-08-22 16:32:06.683527,2012-08-22 16:32:06.781569,Enter the number revealed in the video,h0,intro,Enter the number revealed in the video,1
14,Trig 1s,A (21..49) B (15..29),G[height above ground \(=\) `m](A/10)*cos(B*pi/180)[distance from wall \(=\) `cm](A*10)*sin(B*pi/180),2012-07-25 11:24:10.208338,2012-08-22 18:29:32.879171,"A \(`A/10`\mathrm{m}\) ladder is resting against a wall making an angle of \(`B` °\) with the wall. Find how far the top of the ladder is from the ground, and how far the base of the ladder is from the wall.",s2,sg00 trig,"A \(`A/10`\mathrm{m}\) ladder is resting against a wall making an angle of \(`B` °\) with the wall. Find how far the top of the ladder is from the ground, and how far the base of the ladder is from the wall.",1
35,Intro 2b,"",[]143,2012-08-22 14:47:52.995103,2012-08-23 15:27:13.567831,What is the magic number?,h0,intro,What is the magic number?,1
41,Standard form 1,A (11..99) B (5..10),G[\(a = \)]A/10[\(b = \)]-B+1h0,2012-08-26 10:00:01.26864,2012-08-26 10:00:27.611636,Express \(`A*10^(-B)`\) in the form \(a\times 10^b\) ,h2,sg00,Express \(`A*10^(-B)`\) in the form \(a\times 10^b\) ,1
37,intro 2g,"",[]686,2012-08-22 16:33:20.845348,2012-08-23 19:31:39.539646,Consult the video for the number to enter,h0,intro,Consult the video for the number to enter,1
50,powers 4,A (170..220) B (70..120) ,[power of \(10 = \)]-A+B,2012-08-26 10:56:32.790295,2012-08-26 10:56:32.802566,What power of \(10\) is \(10^{`-A`}\div 10^{`-B`}\)?,h0,sg00,What power of \(10\) is \(10^{`-A`}\div 10^{`-B`}\)?,1
38,standard form calculation 1,A (11..33) C (11..33) ,[]A*C*10^(11),2012-08-23 15:51:44.312411,2012-08-26 09:52:11.428588,"Using your calculator if necessary, find \((`A/10`\times 10^6)\times (`C/10`\times 10^7)\), giving your answer as an ordinary number, not using power of ten notation.",s2,sg00,"Using your calculator if necessary, find \((`A/10`\times 10^6)\times (`C/10`\times 10^7)\), giving your answer as an ordinary number, not using power of ten notation.",1
51,powers 3,A (70..120) B (170..220) ,[power of \(10 = \)]-A-B,2012-08-26 10:56:48.268801,2012-08-26 10:56:48.351687,What power of \(10\) is \(10^{`-A`}\times 10^{`-B`}\)?,h0,sg00,What power of \(10\) is \(10^{`-A`}\times 10^{`-B`}\)?,1
48,powers 1,A (70..120) B (70..120) ,[power of \(10 = \)]A+B,2012-08-26 10:44:39.940295,2012-08-26 10:47:28.818564,"What power of \(10\) is \(10^{`A`}\times 10^{`B`}\)? Just state the power as your answer, e.g. if you think the answer is  \(10^{-3}\), just enter \(-3\)",h0,sg00 standard,"What power of \(10\) is \(10^{`A`}\times 10^{`B`}\)? Just state the power as your answer, e.g. if you think the answer is  \(10^{-3}\), just enter \(-3\)",1
49,powers 2,A (170..220) B (70..120) ,[power of \(10 = \)]A-B,2012-08-26 10:51:37.638102,2012-08-26 10:52:07.981267,What power of \(10\) is \(10^{`A`}\div 10^{`B`}\)?,h0,sg00,What power of \(10\) is \(10^{`A`}\div 10^{`B`}\)?,1
52,sf calc 1,A (41..99) B (55..99) C (41..99) D (55..99) ,[\(a = \)]A*C/1000[\(b = \)]B+D+1h0,2012-08-26 11:57:14.880925,2012-08-26 11:58:11.980812,"Calculate \((`A/10`\times 10^{`B`})\times (`C/10`\times 10^{`D`})\), expressing your answer in the form \(a \times 10^b\). Just give the values of \(a\) and \(b\), so for the answer \(3.2\times 10^4\), you'd  enter \(a = \)3.2 and \(b = \)4",s2,sg00,"Calculate \((`A/10`\times 10^{`B`})\times (`C/10`\times 10^{`D`})\), expressing your answer in the form \(a \times 10^b\). Just give the values of \(a\) and \(b\), so for the answer \(3.2\times 10^4\), you'd  enter \(a = \)3.2 and \(b = \)4",1
53,sf calc 4,A (101..301) B (155..199) C (350..901) D (155..199) ,G[\(a = \)]10*A/C[\(b = \)]D+B-1h0,2012-08-26 12:01:18.428959,2012-08-26 12:44:28.515743,"Calculate \((`A/100`\times 10^{`B`})\div (`C/100`\times 10^{`-D`})\), expressing your answer in the form \(a \times 10^b\)",s3,sg00,"Calculate \((`A/100`\times 10^{`B`})\div (`C/100`\times 10^{`-D`})\), expressing your answer in the form \(a \times 10^b\)",1
54,sf calc 3,A (401..999) B (101..199) C (101..399) D (155..199) ,G[\(a = \)]A/C[\(b = \)]B-Dh0,2012-08-26 12:29:36.959049,2012-08-26 12:44:50.591707,"Calculate \((`A/100`\times 10^{`B`})\div (`C/100`\times 10^{`D`})\), expressing your answer in the form \(a \times 10^b\).",s3,sg00,"Calculate \((`A/100`\times 10^{`B`})\div (`C/100`\times 10^{`D`})\), expressing your answer in the form \(a \times 10^b\).",1
60,sf calc 8,A (321..999) B (51..99) ,G[\(a = \)](A/10)^(.5)[\(b = \)]Bh0,2012-08-26 13:14:44.783365,2012-08-29 15:54:48.574481,"Calculate \(\sqrt{`A/100`\times 10^{`2*B+1`}}\), giving the values of  \(a \) and \(b\) in  \(a \times 10^b\)",s3,sg00,"Calculate \(\sqrt{`A/100`\times 10^{`2*B+1`}}\), giving the values of  \(a \) and \(b\) in  \(a \times 10^b\)",1
